school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,18.0,U,LE3,T,4,2,teacher,services,other,mother,1,4,2,yes,yes,yes,yes,no,yes,no,no,1,1,1,5,1,5,54,2,6,10.0
MS,F,19.0,R,LE3,T,0,2,health,at_home,reputation,father,2,4,3,no,yes,yes,yes,no,no,yes,yes,2,1,3,4,4,4,60,7,20,19.0
GP,F,22.0,R,GT3,A,2,4,at_home,at_home,home,father,4,2,1,yes,yes,yes,no,no,yes,no,yes,4,2,5,4,5,5,27,8,15,0.0
MS,F,17.0,R,LE3,T,2,2,teacher,health,course,other,3,4,0,yes,no,yes,yes,no,no,yes,yes,2,3,5,5,1,2,61,7,15,12.0
MS,F,18.0,U,LE3,A,1,0,health,services,reputation,mother,3,3,3,yes,no,yes,yes,no,yes,yes,no,1,2,4,3,1,5,73,12,2,17.0
GP,F,21.0,R,GT3,A,3,3,services,other,other,mother,1,4,0,yes,no,no,no,yes,no,yes,yes,3,2,3,3,3,2,65,1,11,3.0
GP,F,18.0,R,LE3,T,1,2,health,other,home,father,3,1,3,yes,no,no,yes,no,yes,no,yes,5,4,2,2,1,1,70,20,7,0.0
GP,F,22.0,U,LE3,A,3,3,at_home,services,reputation,mother,2,3,1,no,yes,no,no,no,yes,no,yes,2,3,4,2,1,1,57,10,12,2.0
GP,F,16.0,R,GT3,A,4,0,at_home,services,home,father,3,1,1,no,yes,no,yes,yes,yes,no,yes,2,4,2,1,3,2,80,10,11,3.0
MS,F,16.0,U,LE3,A,0,2,other,health,other,father,2,2,2,no,yes,yes,no,no,yes,yes,yes,5,3,3,1,2,1,15,4,16,20.0
MS,F,20.0,R,GT3,T,4,1,other,teacher,reputation,father,1,1,2,yes,no,no,no,no,no,yes,yes,1,4,5,5,4,5,24,15,10,18.0
MS,F,18.0,U,LE3,A,4,3,services,at_home,home,other,4,4,3,no,yes,no,no,yes,yes,no,no,4,5,5,1,2,2,62,17,11,17.0
GP,F,17.0,R,LE3,T,0,1,teacher,other,course,mother,1,2,2,no,no,yes,no,yes,yes,yes,yes,3,1,3,5,3,4,54,16,10,6.0
MS,F,15.0,R,LE3,T,4,2,at_home,services,reputation,mother,1,4,3,no,yes,no,no,no,no,no,yes,3,2,3,4,4,1,12,11,12,8.0
MS,F,20.0,R,LE3,T,3,4,teacher,other,reputation,father,3,1,0,yes,yes,no,yes,yes,yes,no,no,2,1,2,2,1,5,79,10,16,5.0
GP,F,22.0,U,LE3,T,1,4,teacher,services,course,father,1,4,2,no,no,no,yes,no,no,yes,no,1,3,3,1,3,2,71,17,17,0.0
MS,F,19.0,R,GT3,A,2,0,services,health,course,father,3,1,0,yes,no,yes,no,no,no,yes,yes,5,2,4,3,3,2,56,19,12,1.0
MS,F,21.0,R,GT3,A,0,3,other,services,home,other,1,2,1,yes,no,yes,yes,yes,yes,yes,yes,1,4,2,2,5,5,86,17,8,4.0
MS,F,21.0,U,LE3,A,1,3,at_home,health,other,other,2,2,3,no,yes,yes,yes,yes,yes,no,no,2,5,4,2,2,5,0,8,14,8.0
MS,F,22.0,U,GT3,T,4,1,services,services,home,other,4,1,1,no,yes,no,no,no,yes,no,no,5,2,1,5,5,4,83,0,4,8.0
GP,F,18.0,R,GT3,A,4,4,health,services,other,father,3,4,3,yes,no,no,no,yes,yes,yes,yes,5,3,4,2,2,3,62,0,12,8.0
MS,M,20.0,U,GT3,T,2,1,at_home,services,home,father,1,2,1,yes,yes,yes,no,no,yes,no,yes,2,4,1,3,3,3,37,12,9,0.0
MS,F,15.0,U,LE3,T,4,4,other,other,home,mother,3,1,0,yes,no,yes,no,yes,no,yes,yes,5,2,5,1,4,5,19,2,18,8.0
MS,F,22.0,R,GT3,A,1,3,services,at_home,home,other,4,4,3,yes,no,yes,yes,yes,no,no,yes,5,2,2,2,4,1,31,13,20,8.0
MS,M,15.0,U,LE3,A,3,3,health,at_home,other,mother,1,4,3,yes,yes,no,no,yes,yes,yes,no,5,4,3,5,5,5,62,1,18,11.0
MS,F,16.0,U,GT3,A,1,3,teacher,at_home,home,father,3,2,1,no,yes,no,yes,no,yes,yes,no,1,5,3,4,5,5,7,14,4,1.0
MS,M,21.0,R,GT3,T,2,4,other,other,other,other,4,4,1,yes,yes,no,no,no,yes,no,no,4,2,4,3,1,5,3,12,9,0.0
